"smell_type","project_link"
"Feature Concentration","https://github.com/0oooo/machineLearning"
"Feature Concentration","https://github.com/00-Evan/shattered-pixel-dungeon-gdx"
"Feature Concentration","https://github.com/0-Vector/leetcode-ex"
"Feature Concentration","https://github.com/0-yy-0/Y-community"
"Feature Concentration","https://github.com/000GEV744/Renting-Project"
"Feature Concentration","https://github.com/0000chris11/java-timestamp-sb"
"Feature Concentration","https://github.com/0000chris11/Java_Examples"
"Feature Concentration","https://github.com/001glory/CISP"
"Feature Concentration","https://github.com/001db001/OneBudget"
"Feature Concentration","https://github.com/007anshul/friendrecommandation"
"Feature Concentration","https://github.com/007shishir/Android-Master"
"Feature Concentration","https://github.com/007atulpandey/Jee_Portal-using-java-eclipse"
"Feature Concentration","https://github.com/007shishir/MBA-Master"
"Feature Concentration","https://github.com/007xiaoyang/shengxian_user"
"Feature Concentration","https://github.com/00p513-dev/SetupWizard-Bliss"
"Feature Concentration","https://github.com/00ZRHun/google-map-note"
"Feature Concentration","https://github.com/00rj00/OnlineFurnitureStore"
"Feature Concentration","https://github.com/00pf00/rpc-deviceaccess"
"Feature Concentration","https://github.com/00sanoj00/Enough_movies_app_Android"
"Feature Concentration","https://github.com/00sanoj00/Devil-APK-Signer"
"Feature Concentration","https://github.com/00pf00/rpc"
"Feature Concentration","https://github.com/00zwp/Game24"
"Feature Concentration","https://github.com/00sanoj00/SL_Zip_Signer_V3"
"Feature Concentration","https://github.com/0104lyh/Jx3_Bot"
"Feature Concentration","https://github.com/0104lyh/web-Ex"
"Feature Concentration","https://github.com/010Jay/Adp3Assignment3Group09"
"Feature Concentration","https://github.com/016image/autotestlearnmav"
"Feature Concentration","https://github.com/0212kr/JavaWork"
"Feature Concentration","https://github.com/01brazz/5EI_Group2_PCP"
"Feature Concentration","https://github.com/0212kr/WSWE"
"Feature Concentration","https://github.com/01org/DualScreen.Net"
"Feature Concentration","https://github.com/021Mgk/portal-7-3-7-ga8"
"Feature Concentration","https://github.com/0226minji/projectminji"
"Feature Concentration","https://github.com/0326rj/Advanced-BIM-Editor"
"Feature Concentration","https://github.com/0226daniel/UniPad-DesignKit"
"Feature Concentration","https://github.com/0226minji/projectFile"
"Feature Concentration","https://github.com/03shilpa/July15Automation"
"Feature Concentration","https://github.com/0336328069/ProjectCodeFirstCRUD"
"Feature Concentration","https://github.com/0352972441/ASSServer"
"Feature Concentration","https://github.com/042020-dotnet-uta/Team2-repo2"
