"smell_type","component","responsible_classes","repository_link","name"
"Feature Concentration","ConsoleShopper.UI","ConsoleShopper.UI.InputValidators, ConsoleShopper.UI.IServiceCollectionExtension","https://github.com/042020-dotnet-uta/sulavAryal-repo0","sulavAryal-repo0"
"Feature Concentration","day3","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","com.example.androidserver.screen","NA","https://github.com/0352972441/ASSServer","ASSServer"
"Feature Concentration","com.jica.chap09","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.jica.awt.event","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.LTI.Project0.services","NA","https://github.com/071921-LTI/Tim-StDennis","Tim-StDennis"
"Feature Concentration","com.github.houbb.rpc.common.support.inteceptor.impl","NA","https://github.com/00pf00/rpc","rpc"
"Feature Concentration","home_work_1","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.lti.services","NA","https://github.com/071921-LTI/David-Veller","David-Veller"
"Feature Concentration","day10","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","day7","NA","https://github.com/04sohyun/self1","self1"
"Feature Concentration","com.adasplus.base.view","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","ConsoleShopper.Repository","ConsoleShopper.Repository.IOrderService, ConsoleShopper.Repository.OrderService, ConsoleShopper.Repository.IProductRepository, ConsoleShopper.Repository.ProductRepository","https://github.com/042020-dotnet-uta/sulavAryal-repo0","sulavAryal-repo0"
"Feature Concentration","com.lti.daos","NA","https://github.com/071921-LTI/Michael-Wilder","Michael-Wilder"
"Feature Concentration","com.example.androidmaster.memorise","NA","https://github.com/007shishir/Android-Master","Android-Master"
"Feature Concentration","com.scwang.smartrefresh.layout","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","BackEnd","BackEnd.Program, BackEnd.Startup, BackEnd.DevIntersectionLoader","https://github.com/0468386988/ASP.NET-CP-WorkShop","ASP.NET-CP-WorkShop"
"Feature Concentration","com.bookbros.services","NA","https://github.com/071921-LTI/BookBros-spring-back","BookBros-spring-back"
"Feature Concentration","com.manish.interview.hackerearth.inotix","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","com.scwang.smartrefresh.layout.api","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","com.zhou.biyongxposed","NA","https://github.com/061103/ByHb","ByHb"
"Feature Concentration","com.nick.services","NA","https://github.com/071921-LTI/Nick_Urban","Nick_Urban"
"Feature Concentration","cn.edu.bupt.message","NA","https://github.com/00pf00/rpc-deviceaccess","rpc-deviceaccess"
"Feature Concentration","com.adasplus.homepager.set.mvp.contract","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","com.adasplus.base.utils","NA","https://github.com/04551lh/dvr","dvr"
"Feature Concentration","com.zero.daos","NA","https://github.com/071921-LTI/Christian-Osada","Christian-Osada"
"Feature Concentration","com.manish.interview.hackerearth.salesforce","NA","https://github.com/0212kr/JavaWork","JavaWork"
"Feature Concentration","(default package)","NA","https://github.com/00zwp/Game24","Game24"
"Feature Concentration","com.revature.daos","NA","https://github.com/071921-LTI/David-Veller","David-Veller"
